,text,label,date
10,oppløftende høre høyrefolk frpere snakke sysselsettingen asylsøkere tone borgerlig side problemer midlene kuttet tiltakspakken omdisponert politikk skaper arbeidsplasser ifra kuttene vei statsministeren omdisponeres jernbane rekke kutt sysselsettings vedlikeholdspakken sørvestlandet lurer statsministeren bekrefte tiltakspakken 4 mrd kr rart spørre ganger lurer omdisponeringer 500 millionene sysselsettingstiltak kommunene skaper arbeidsplasser,1,2015-12-03
11,saken handler sentrale spørsmål rent praktisk handler dekke utgiftene årets lønnsoppgjør staten framforhandlet sterke føringer staten hørt vane dekke kommunesektorens mervekst lønnsoppgjør statsbudsjettets prognoserte vekst utgangspunktet prinsipp avledet partene forhandlinger selvstendige ansvarlige fungerer hensiktsmessig spørsmål regjeringen bondeviks håndtering spørsmålet 1998 kommunene kraftig banesår stortinget vedtar prognosert pris lønnsvekst framstår kommunenes handlingsrom lønnsoppgjøret sterke føringer føyer staten forhandler kommunene lønnsgrupper sammenliknes forbindelse lønnspolitikken kommunene staten side omvendt holdning overskridelser området stortinget rausere tilleggsbevilgninger kommunene frie inntektsposialet gjelder hente dekning merutgifter bygge tjenester kvantitet kvalitet stortinget utrolig konsekvent underdekning fordringer forventninger legger kommunen tjenesteyter privatbedrift påta ansvaret oppgaver premisser stortinget gir kommunene stortinget kaller effektivisere kaller rasere folkelig kaldkvele spørre kommunen part lønnsoppgjørene betrakte fri part spørsmålet handler utgiftsberegninger saken saker handler dekke kommunenes merutgifter sprik statens beregninger kommunenes sentralforbunds beregninger klokkertro feste lit departementets utregninger historien forbyr velger saken feste lit kommunenes sentralforbunds beregninger kommunenes sentralforbund regel treffer bedre forhandlingsberegninger departementene innse utviklet kultur partene posisjonerer ugjendrivelig parter ene fattig rik logisk rike skånes fattiges bekostning framtiden avgjørende betydning departement kommunenes sentralforbund sørger enige saker legges behandling stortinget legges rutiner evaluering vedtak systematisk rette eventuelle utilsiktede utslag vedtak stortinget paradoksalt utslag saken private skolene sikret kompensasjon budsjettforliket sentrum kommunene sikret dekning utgifter kommunenes sentralforbunds beregninger riktige sv saken stortinget tilfellet sv kritisk privatskoler fall privatskoler underdekke måte kaldkvele kalte privatskolene riktige måten diskusjonen privatskoler prinsipielt grunnlag kjøreregler forutsigbare private skolene offentlige kommunene generelt synspunktet legger støtte tilleggsbevilgningen privatskolene,1,2000-11-23
12,glad representanten spørsmålet sv rimelig jobbe rimelig meningsfull aktivitet ønsker ordninger hjelp navkontoret stedet blind aktivitetsplikt fungerer moralisme fattige frykter oppgaver lavere betaling utfører oppgavene jobbet nav sosialarbeider møtt mennesker vanskelig livssituasjon trenger ordninger passer frykter blind aktivitetsplikt tror hinder gode løsninger mennesket,1,2014-12-08
13,sv klare bidratt flytte norge miljøvennlig retning gjennombrudd gjelder målsettinger gjelder sektorvise handlingsplaner gjelder co2rensing gjelder vern feks lofoten områder vern vefsna nevne stad inne tror venstre nesa framtida samarbeide fremskrittspartiet tror representanten holten hjemdal øra svarte forrige replikk reduksjon bevilgningene skogvern reduksjon skyldes gammelt skogvern avsluttes skogvern penger saken spørsmålet trillemarka avgjort tilfellet reduserer gjelder vern,1,2007-12-07
14,fremskrittspartiet alkolås punktum urimelig konstrueres fremskrittspartiet alkolås egentlig diskuterer diskuterer forskjellig tilnærming referere innlegg gjentar stad ordning påbudsregulering statlig hold aktuelt medføre økte kostnader transportnæringen avklart stad påpeke fremskrittspartiet alkolås fungerer oppfattelse veien tenker muligheter velge frivillig evalueringen vurderingen statsråden stilling målet ønsker gulrot stedet pisk tro busselskap transportselskap tjent innføre alkolås statlig hold rette gulrot pisk,0,2015-06-02
15,replikk innlegget replikk sv kristeleg folkeparti krigsparti tydeleg innlegget lars rise 70 millionar bistandskroner irak derifrå veit kristeleg folkeparti samanhengen tillegg bistandsmidlar krig kjøre opplæring sv opplæring afghanistan besøkt isafstyrkane kjempegod jobb heiter folkeskikk kjempejobb tvil støttar irak 800 menneske døydd regjering veit situasjon spørje representanten lars rise måte tenkt mellomkirkelig råd vedtak kvitt atomvåpna europeisk jord,1,2005-06-03
16,representanten tørresdal ros saken vepsebol stikker hånden kjenner påstander kjenne folk kommunale gjennomslag problem kommunenorge korrupsjon ille verre offentlig sektor privat sektor offentlige avhengig tillit forvalte vårt lovverk felles økonomi stole forvalter makten stole spørsmål stille stille spørsmål representanten senterpartiet hevdet belegg korrupsjon privat sektor offentlig sektor faktiske grunnlaget dokumentasjonen påstanden snakkes manglende tillit offentlige politikerne representanten tørresdal refererte undersøkelse fjerdedeler folk tror korrupsjon tror tvilsom håndtering innkjøp uetiske skremme sal jobbet offentlige innkjøp krevende øvelse riktignok erfaringer åtte gamle åpenbart tiden jobbet sektoren manglet kompetansehevingstiltakene fokusert arbeidet kvalitativt innhold inntrykk inntrykket skapt driver kommunepolitiker kommune buskerud påstander uheldige saker tyder kommuner uheldige forhold fremskrittspartiet tror problemene løses fremskrittspartiets modell finansiering bla gjelder helse skole statlig finansiering kronebeløp pr elev pr pasient steller kommunene muligheter problemer området stiller uforstående påstanden representanten terje andersen alternative modeller forrige regjeringen fremskrittspartiet jobbet korrupsjon modellenes natur korrupsjon brukerstyring fritt brukervalg marked styring politikere byråkrater naturlig korrupsjonsmuligheter selvfølgelig løse problemene kommunene fremskrittspartiets modell forvaltnings utviklingsoppgaver sammenheng strengt regime fokuserer innholdet konkurranseutsetting anbud klarhet åpenhet prosessene fremskrittspartiets side skeptiske kjøpsordninger gir muligheter personlige relasjoner personlige relasjoner utslagsgivende leverandører offentlige velger tror resepten konkurranseutsetting anbud streng oppfølging innkjøpsregelverket familie kultur administrasjonskomiteen kommunalkomiteen forrige periode tror likhet statsråden politiske ledelse administrasjon fokuseres uheldige sidene korrupsjon tror satse strengere straffer området opprettholde terskelverdier sikre økte muligheter området tror konkurranseloven sikre korrupsjon næringslivet lettere avslørt slås hardere bla tinesaken,0,2005-12-19
17,spørsmål regjeringen ønsker kvotesystem blander fossile utslipp utslipp avskoging kvotesystemet utgangspunktet reageres kvoter syvende utslippsrettigheter utslippsrettigheter ønsker sikre fortsette forurense fattige land frykter havne situasjon bedt skogen stå rike land fortsette fossil energi betydelige faglige innvendinger blande fossile utslipp utslipp skog kvotesystem skoger viktige karbonlagrere usikre sant betaler skogen bevares krever utslippsrettigheter fossil energi garanti skogen spørsmål klima miljøministeren kvotesystem utslippstypene blandes,1,2015-12-02
18,tror forstå representanten lien hen etterlyser høyere avgift visse bakgrunnsregnestykker beregningen avgiften tilsi miljøhensyn fort brutalt avgiften høyere prøvd system starter fiskebåtene enhetene kjelene lav avgift omstillingen fiskerinæringen kompensasjonsordningene 90 mill kr foreslått budsjettet forstår næringene opptatt måte lider beklager egentlig forrige regjering banen tror dialog næringene løp samarbeider næringene gjøres avgiften innføres 1 2007 miste spørsmål tilpasse annerledes,1,2006-10-25
19,sv forslaget raudgrøne seia representanten halleraker poenget innføra politikken sverige blåblå importera dårleg sverige ungdomar raudgrøne noreg søkja arbeid forklaringsproblem politikken verkar sverige verka noreg høgre makt anne marit bjørnflaten hovudprofil budsjettdebatten problem stå rakrygga seia satsa samferdsel årets budsjett ntp oppfylt hareide schou posisjon nasjonal transportplan oppfylt oppfylt raudgrøne regjeringa læra politikken gjennomførast aktiviteten veg jernbanesektoren minimal hareide schou sat regjering foreslo 13 mrd kr investeringar jernbanen sv 61 mrd kr komande huset samarbeid gode samferdselsminister budsjettendringar viktige punkt befolkninga tverlandet bodø venta stasjon kunna føra biltrafikk klimagassutslepp næringslivet tena pengar strålande oppstartsløyvingar tverlandet stasjon samarbeid samferdselsministeren plussa transnova innsats verkemiddel bla klimagassutsleppa forureininga byane noreg best elbil verda raudgrøne regjeringa sjølvsagt fortsetja styrkja innsatsen miljøteknologiske løysingar byområda doha vanskelege kyoto 2forhandlingar kvotehandel nrkdokumentaren erling borgen problematisk noreg treng kritisk forhold handelen fns regelverk sjølvsagt fortsetja kritiske utgangspunkt dokumentaren kvotehandelssystemet klimaforliket stortinget veksten transporten byområda kollektivt regjeringa styrkt belønningsordninga redusera biltrafikken grep kommunane moglegheit løysa transportveksten problemet tilbodet stund partia unntatt framstegspartiet trondheim skikkeleg måte byområde nødvendige grepa partia høgre sv sagt pengar staten gledeleg lesa stavanger aftenblad ordførarane stavanger sola sandnes foreslå rushtidsavgift bompengeløysingar pengar feks bybane bypakkar stavangerregionen nordjæren kunna føra næringslivet nordjæren taper hundrevis millionar stå kø køen tena pengar treng område terminalen gardermoen vekk tunnelar osv flotte kafear you name it strålande tenkjer tog togsatsinga forhold satsar fly systeim låna pengar statsgaranti byggja 14 mrd kr bestemt parlamentet gale kjempa pengar toginvesteringar system toga diskriminerer fortener forhandla ntp gjeld gjerast togsida stortingsfleirtalet sagt tydeleg minus framstegspartiet byggja tenkjast innfører høghastigheitsnett framtida byggjast 250 kmt pluss vestfold byggjer lyntog noreg stortingsfleirtalet unntatt framstegspartiet sagt bygginga vestfold måte skritt vestlandet tenkjer jernbaneutbygging tenkja austlandet løysingar tenkja løysingane austlandet gjelda trøndelag bergen hordaland stavanger framtidig høgfartsnett tenkjer austlandet trøbbel landet samla landet løysingar verkar 2008 trekte internasjonal kompetanse drøfting jernbaneverket deutsche bahnnorsk bane traséval mjøsa stortingsfleirtalet raudgrøne utgangspunkt møtet bruka internasjonal kompetanse svara jernbaneverket dyrare deutsche bahn billegare skikkeleg svar vedtaket 250 kmt pluss byggja landet redusera flytrafikken redusera trafikkulykkene redusera godstrafikken redusera klimagassutsleppa framtidsretta løysinga stortingsfleirtalet problemet farten høyrde morgonen farten problemet finansieringsmoglegheita flyplassen problemet modell flott arbeidarpartiet vedtatt opplegg finansiering tog samarbeida konkretisert ntp spørsmål fart spørsmål pengar landsstyret sv samrøystes vedtatt ønskjer 25 mrd kr tog 250 mrd kr ti elisabeth enger jernbaneverket føra utviklinga noreg treng området seia pengar seia pengar årleg bruker 200 mrd kr olje gassinvesteringar landet 2 000 mrd kr ti bruker olje gassinvesteringar kunna bruka 250 mrd kr toget modell satsar toget sveits toget stilla toget presist folkefleirtalet vedtatt finansieringsmodell folket sagt tog vedtatt bruka bompengar tungtransporten bruka miljøavgifter biltransporten bruka fond byggja jernbane vegen sveits sannsynlegvis best verda tog noreg kikka sveits bla finna finansieringsmodellar noreg folk seiest flyg europa motorvegar togløysingar lønsame sosialistisk venstreparti framtidas løysingar håper regjeringa nasjonal transportplan vegar uventa,1,2012-12-06
20,enig representanten eriksen lærer nøkkelen skole utdanningsforskning omfang gjelder videreutdanning budsjettet 2013 bevilger utgangspunktet videreutdanning midler 1 850 lærere enig ks lærerorganisasjonene fordeling kostnadene staten 50 pst kostnadene videreutdanning lærerne deal egentlig ansvar lærere yrkesgrupper forbindelse ungdomstrinnsmeldingen omfattende etterutdanningstilbud løpet skoleåret 3 600 lærere ekstra opplæring lesing skriving regning jobbe praktisk variert elevene sliter tilbud mottatt omfattende ungdomsskolestrategi området fullt trykk utfordring gjelder bruken videreutdanningsmidlene 150 kommuner benytter tilbudet overhodet listen kommuner benytter sammenheng politiske prioriteringer prøvd lage videreutdanningstilbudet desentralisert opplegg landet riktig spleiselag kommunene betale reisekostnader selvfølgelig fordele bedre distriktsmessig lettere tilgjengelig distriktskommuner utfordringen kommunene benytt gode avtalen gjelder videreutdanning,1,2012-10-10
21,slutte ola lånke gjelder rådet folkemusikk folkedans dele skylden komiteen høyden jobben rette gjelder fremskrittspartiet enig giske avtale undertegnet fremskrittspartiet valgt prioritere flaggsaker norge penger istedenfor oppfylle avtalen begrunnelse skjedd giskes bekymringer forbindelse kulturelle skolesekken signalene klare innstillingen tror misforstå ord film norge betydelig filmarv vises allmennheten sikre behandlingen filmene forsvarlig måte filmer historisk kulturell verdi ferd fysisk tapt midler konservere tilstrekkelig antall film pr sv bidra uerstattelige filmskatter kulturdokumentasjon ivaretatt kommende generasjoner styrke bevilgningen filminstitutts restaureringsarbeid sv ønsker støtte aktiv filmproduksjon profilere formidle filmuttrykk langfilm kortfilm animasjon dokumentarer legges rette miljø bearbeide utvikle ideer basert ren markedstenking oppnå publikumssuksesser sikre kunstnerisk utvikling filmutviklingen,1,2002-12-13
22,registrerer næring norge unntak bønder fremskrittspartiet ønsker skattelettelser norges formuende banker døra hagesæter kompani skattelettelser fremskrittspartiet partiet salen oppfattet mente oljenæringen berettiget krav lettelser størrelsesordenen 10 milliarder kr syntes legitimt fremskrittspartiet amen rederinæringen norge næring kraftig subsidiert skattebetalere forbauset stolte eldste næringer avhengig offentlige subsidier enhver næringsvirksomhet fritt flytte ønsker hindre skattesystemet ønsker norge samfunnet gir betydelig sosiale velferdsordninger registrerer rederiene gir skatteinntekter stat forbauset rederiene opptrer måten villige samfunn,1,2004-06-11
23,registrerer statsråden såre fornøyd situasjonen gjelder kirke opptelling antall prestestillinger debatten overrasket lyst utfordre statsråden forespeilet melding kirkens økonomi stortinget bedt regnet meldingen mulighet diskutere kirkebygg prestestillinger osv vet kirkerådet representerer kirke skuffet dårlig område statsråden mulighet støtte stortinget gamle kirkene vare middelalderkirkene hensyn ansvarsfordeling stat kommune statsråden mulighet stortinget kunnet rydde forholdet staten ansvaret kirkebyggene vedlikeholdt skikkelig måte statsråden benyttet sjansen istedenfor skylde kommunene slett kommunene ansvaret,1,2005-06-01
24,sv folk velge bo samfunnsansvar ulikhetene levekår by land fattig rik bygd by folk flytter bygda fælt fattig flytter beskjed framtida bedre byen distriktspolitikken handler gode utviklingsvilkår framtidsmuligheter landet feks bredbåndsatsing lik pris mennesket ressursen befolkningsnedgang problem skole utdanning kompetanseheving tilsvarende utdanning strategiske virkemiddel mennesket makt styring liv landet makt framtid kommunalministerens gjentatte løfter penger kommunene avgjørende lykkes distriktspolitikken 12 milliarder kr underskudd kommunesektoren oppveies småpenger bedre kommuneøkonomi økning distriktspolitiske virkemidlene samordning myndighet lokalt sv foreslått gjennomført nedstemt tror riktig veg haster redegjørelsen nevner statsråden forsøkene hedmark oppland lov bestemme ressursene innlandsfylkene kjenner ministeren trengs utdanningssatsing kvinnesatsing lese tabellene redegjørelsen fylkeskommunene tak greid etablere tilpasset studietilbud enslige forsørgere gjennomføre videregående utdanning grunnlaget skape arbeidsplasser arbeid trenger økonomisk hjelp bedt arbeidsmarkedsetaten behandling velferdsmeldinga pålagt oppfølgingsansvar gruppa arbeidsmarkedsetaten reglene regler vanntette skott brytes viktige greier samarbeid ansett fylkene prioritere enslige forsørgere målgruppe statsråden sagt avgjørende velferdspolitikken avgjørende distriktspolitisk grep utført be statsråden tak ryddet forsøk samordning reelle tingene viktigst differensierte arbeidsgiveravgiften representanten meltveit kleppa tak innlegg stad endringer måttet tilpasse viktige faktum ordningen godkjent skatte avgiftspolitikk regionalpolitikk bestemme virkeområde nivået ordning bedrifter distriktene skattepolitisk grep arbeidsplassene distriktene forundrer partier opptatt skatt områder skatter avgifter ense 2003 ordningen bestå sv opptatt etterlyst bla sentrumsregjeringas engasjement utredet prinsipielle konsekvensene alvorlige konsekvensene arbeid stå tilsvarende ordninger bidra virkningen differensierte arbeidsgiveravgiften poenget pågår utvidelse eu østover saker dagsorden klima spredt bebyggelse transportavstander norge grunnene ordningen problemstillinger rimelig ordningen katastrofalt endret sterkt svekket distriktspolitisk virkemiddel,1,2000-05-11
25,representanten engeset 6timersdagen sak sv slåss forundret representanten engeset stått talerstolen talt varmt tiltakene bedrifter offentlige organisasjoner hell innføre 6timersdagen eldre arbeidstakere plutselig stigmatiserende selvfølgelig tiltakene bedrifter gjennomført aksept eldre arbeidstakere arbeidslivet vanskelig forstå positivt høyre snakker negativt sv snakker riktig gjennomføre forsøkene målsettingen sjølsagt virker positivt tilfelle absolutt svs interesse arbeidstidsordninger vurdert grupper,1,2007-05-29
26,sen kveld romjula sitter finansdepartementet foretar voldsom endring forskriften høring bedrifter berørt endring varslet toppen gjennomførte tilbakevirkende kraft reaksjonene lot vente nyttårsaften nyttårsdag nyttårsdag fall telefon stille bedriftsledere frustrerte handlemåten finansdepartementet dokument nr 8forslaget opplever finansdepartementet gir uttrykk årsaken unnlot sende forslaget høring syns krever sals oppmerksomhet troverdig langsiktig forutsigbar næringspolitikk endre vitale forskrifter sen nattetime departementet saksordfører redegjorde hensikten forskriften lette omorganiseringer paradoksalt ender stramme regelverket betydelig forenklingsaspektet borte skattebelastningen økende syns lettvint flertallet finanskomiteen regner ivaretatt departementet historien departementet måte ivaretatt måte grunnen saken finanskomiteen ansvar sånne vondt forstå forslaget punkter saken støtte saksordfører bred enighet innarbeides skattelovgivningen enige forutsetningen finanskomiteen stortinget orientert endringer saksordfører tilligger finansministeren riktig stortinget handlingslammet regjeringen foretar grep uenig forslaget fremskrittspartiet høyre tverrpolitisk folkevalgte innstendig anmode flertallet sak snu,0,1999-04-22
27,overrasket stortingsrepresentant forhandlinger partene arbeidslivet part stortingets spørretime forhandlingene lærerorganisasjonene ks håndteres ks lærerorganisasjonene selvfølgelig kontakt ks utdanningsforbundet lærerorganisasjoner alminnelige spørsmål spørsmål knyttet spørsmål håndteres partene delegert ansvaret håndtere spørsmålet,1,2006-04-05
28,dumt erklære evig teknologi tidspunkt stilling teknologien eksisterer oljeleting svaret hvorvidt teknologi 2030 2050 2100 eksisterer neppe solvikolsen umulig teknologiutviklingen områder reagerer solvikolsen høyre fremskrittspartiet debatten sagt replikk angrepet sv overstyrt arbeiderpartiet arbeiderpartiet sv betydningen nasjonalt kompromiss reagerer innstillingen fremskrittspartiet høyre potensielle samarbeidspartnere åpenbart gjøres kompromisser,1,2011-06-15
